kvk,organisatie,pc,jaar,nMedew,nFTE,noemer,nClient,pTijd,tTijd,nTijd,pPnil,tPnil,nPnil,pkPnil,kPnil,kVast,gemContr,tGemContr,nGemContr,instroom,tInstroom,nInstroom,uitstroom,tUitstroom,nUitstroom,doorstroom,tDoorstroom,nDoorstroom,nStag,nVrijw,niv1,tNiv1,niv2,tNiv2,niv3,tNiv3,niv4,tNiv4,niv5,tNiv5,niv6,tNiv6,beh,tBehandel,ovPers,tOvPers,ll,tLl,FTEpCt,tFTEpCt,pVerzuim,tVerzuim,nVerzuim,verzuimFreq,tVerzuimFreq,nVerzuimFreq
10030057,Cv Woonzorgvoorziening De Meerenburgh,6615AA,2019,22,9,9,7,25,6,24,0,0,9,NA,NA,NA,0.41,9,22,48.89,11,23,35.56,8,23,4.44,1,23,1,3,0,0,13.33,1,66.67,6,0,0,0,0,0,0,0,0,11.11,1,0,0,1.21,9,3.16,60,1900,0.41,9,22
10030057,Cv Woonzorgvoorziening De Meerenburgh,6615AA,2020,21,8.07,8,8,22.73,5,22,2.11,0,8,3.31,15317,463302,0.38,8,21,21.74,5,23,26.09,6,23,4.35,1,23,NA,NA,0.62,0,2.48,0,69.39,6,8.67,1,0,0,0,0,0,0,12.39,1,0,0,1.05,8,7.35,137,1865,0.81,17,21
10030057,Cv Woonzorgvoorziening De Meerenburgh,6615AA,2021,21,7.47,7,7,25,5,20,9.24,1,7,16.9,72146,427000,0.36,7,21,19.05,4,21,28.57,6,21,4.76,1,21,2,1,0.67,0,5.09,0,66.93,5,6.69,1,2.68,0,0,0,0,0,13.39,1,0,0,1.02,7,10.83,202,1865,1.38,29,21
10043379,Stichting Kalorama,6573ZH,2019,695,412.9,413,320,14.96,104,695,14.63,60,413,13.16,3074000,23351000,0.59,413,695,19.62,136,693,19.19,133,693,7.94,55,693,28,110,5.47,23,6.25,26,21.6,89,5.3,22,3.22,13,0,0,4.5,19,4.38,18,7.85,32,1.29,413,6.92,9281,134193,1.05,730,695
10043379,Stichting Kalorama,6573ZH,2020,716,447,447,822,24.53,184,750,13.27,59,447,12.06,3263962,27073593,0.62,447,716,25.35,182,718,16.16,116,718,3.48,25,718,30,430,6.33,28,12.01,54,27.2,122,6.94,31,6.98,31,0,0,7.45,33,1.36,6,7.45,33,0.54,447,7.78,7695,98906,1.1,787,716
10043379,Stichting Kalorama,6573ZH,2021,738,476,476,264,22.81,169,741,7.14,34,476,9.29,2664619,28695442,0.64,476,738,20.29,149,735,16.75,123,735,3.95,29,735,111,449,8.59,41,13.38,64,26.83,128,6.85,33,0,0,7.98,38,6.76,32,1.11,5,10.55,50,1.8,476,9.01,15435,171342,0.96,707,738
1087289,Stichting Interzorg Groep,9172PS,2019,157,83.6,84,66,25.63,41,160,1.44,1,84,7.99,117004,1463672,0.53,84,157,24.2,38,157,20.38,32,157,7.01,11,157,18,75,14.47,12,13.04,11,48.33,40,8.49,7,0,0,0,0,0,0,0,0,1.67,1,1.26,84,9.3,5333,57344,0.79,124,157
1087289,Stichting Interzorg Groep,9172PS,2020,187,90,90,69,22.5,36,160,1.44,1,90,4.17,143145,3429670,0.48,90,187,15.87,25,158,15.24,24,158,8.25,13,158,25,75,15,14,13.56,12,47.67,43,10.22,9,0,0,0,0,0,0,0,0,0.78,1,1.3,90,6.1,3943,64639,0.75,140,187
1087289,Stichting Interzorg Groep,9172PS,2021,186,89.7,90,69,14.63,24,164,2.56,2,90,3.56,123445,3467046,0.48,90,186,13.71,22,161,16.2,26,161,5.61,9,161,5,73,15.27,14,15.72,14,47.16,42,10.48,9,0,0,0,0,0,0,0,0,1.45,1,1.3,90,8,4997,62462,0.69,128,186
1098504,Stichting Zuidoostzorg,9200AP,2019,1995,1057,1057,739,22.66,452,1995,1.58,17,1057,3.15,1835672,58337237,0.53,1057,1995,21.03,481,2288,14.86,340,2288,7.83,179,2288,156,950,9.04,96,15.76,167,43.23,457,6.39,68,0,0,1.61,17,5.11,54,0,0,1.92,20,1.43,1057,5.73,22931,399948,1.11,2216,1995
