"","verslagjaar","okvk","organisatie","wnMedew","wnFTE","wTijd","wPnil","wPnilKosten","wGemContr","wInstroom","wUitstroom","wDoorstroom","wnStag","wnVrijw","wNiv1","wNiv2","wNiv3","wNiv4","wNiv5","wNiv6","wBdnst","wOvPers","wLling","wFTEperCt","wVerzuimPerc","wVerzuimFreq","tTijd","tPnil","tPnilKosten","tGemContr","tInstroom","tUitstroom","tDoorstroom","tNiv1","tNiv2","tNiv3","tNiv4","tNiv5","tNiv6","tBdnst","tOvPers","tLling","tFTEperCt","tVerzuimPerc","tVerzuimFreq","nTijd","nPnil","nPnilKosten","nGemContr","nInstroom","nUitstroom","nDoorstroom","nNiv1","nNiv2","nNiv3","nNiv4","nNiv5","nNiv6","nBdnst","nOvPers","nLling","nFTEperCt","nVerzuimPerc","nVerzuimFreq"
"1",2019,"9178048","Abc-Zorgcomfort B.v.",89,49.5,11.24,3.11,5.07,0.56,27.67,16.35,0,3,56,0,6.06,44.24,9.29,14.14,0,0,20,6.26,1.92,2.64,0.78,10,2,115392,50,22,13,0,0,3,22,5,7,0,0,10,3,50,2610,69,89,50,2275545,89,80,80,80,50,50,50,50,50,50,50,50,50,26,98843,89
"2",2019,"54974011","Aristozorg B.v.",32,18.75,6.25,0,NA,0.59,100,0,0,2,5,13.33,17.17,22.61,7.15,5.33,0,0,16.8,9.6,0.69,2.25,0.19,2,0,NA,19,32,0,0,3,3,4,1,1,0,0,3,2,19,110,6,32,19,NA,32,32,32,32,19,19,19,19,19,19,19,19,19,27,4894,32
"3",2019,"66358264","Avondrust B.v.",27,12.65,21.43,NA,NA,0.47,4.44,4.44,0,3,23,11.78,36.36,20.4,7.04,0.47,0,0,0,16.92,0.91,1.37,0.67,6,NA,NA,13,1,1,0,1,5,3,1,0,0,0,0,2,13,58,18,28,NA,NA,27,23,23,23,13,13,13,13,13,13,13,13,13,14,4238,27
"4",2019,"65495276","Ben Oude Nijhuis",42,41.57,9.52,14.43,16.44,0.99,11.9,11.9,0,2,10,23.26,18.19,29.66,3.85,0,0,0,0,4.81,1.16,NA,1,4,6,342000,42,5,5,0,10,8,12,2,0,0,0,0,2,36,NA,42,42,42,2080000,42,42,42,42,42,42,42,42,42,42,42,42,42,31,NA,42
"5",2019,"71347305","Betuwehof Zorg B.v.",54,22.38,32.65,0.18,3.99,0.41,25.81,15.05,6.45,1,36,12.6,18.41,22.74,16.04,0,0,0,16.8,9.61,1.24,1.64,0.57,16,0,41255,22,12,7,3,3,4,5,4,0,0,0,4,2,22,91,31,49,22,1033886,54,47,47,47,22,22,22,22,22,22,22,22,22,18,5541,54
"6",2019,"53893476","Boers & Dam T.h.o.d.n. Herbergier Wognum",26,17.8,46.15,0.62,1.87,0.68,26.42,30.19,11.32,3,7,5.62,47.75,46.63,0,0,0,0,0,0,1.05,0.94,0.54,12,0,12364,18,7,8,3,1,9,8,0,0,0,0,0,0,18,30,14,26,18,661625,26,27,27,27,18,18,18,18,18,18,18,18,18,17,3178,26
"7",2019,"58134565","Bronovo Martha Flora B.v.",67,39.3,35.82,2.95,5.27,0.59,38.02,28.1,0,0,0,49.95,16.84,25.85,7.35,0,0,0,0,0,1.42,5,1.01,24,1,93431,39,23,17,0,20,7,10,3,0,0,0,0,0,39,422,68,67,39,1773422,67,61,61,61,39,39,39,39,39,39,39,39,39,28,8443,67
"8",2019,"41118658","Stichting De Lange Wei",205,99.72,31.1,1.67,6.87,0.49,27.64,34.67,1.01,14,250,6.49,15.39,33.31,16.25,0,0.89,0.67,9.37,11.25,1.1,6.12,0.82,65,2,262112,100,55,69,2,6,15,33,16,0,1,1,9,11,100,2314,168,209,100,3814004,205,199,199,199,100,100,100,100,100,100,100,100,100,91,37799,205
"9",2019,"17128772","Burgthoeve",9,8.85,33.33,NA,NA,0.98,11.76,0,11.76,NA,NA,9.94,0,11.3,67.46,0,0,0,11.3,0,3.53,2.43,0.78,3,NA,NA,9,1,0,1,1,0,1,6,0,0,0,1,0,9,40,7,9,NA,NA,9,9,9,9,9,9,9,9,9,9,9,9,9,3,1646,9
"10",2019,"50436112","Care Residence Zonnestraal B.v.",41,27.52,30,18.53,13.35,0.67,12.66,15.19,0,4,2,4.36,6.83,49.06,12.35,2.4,0,0,25,0,0.98,6.49,0.76,12,5,219000,28,5,6,0,1,2,14,3,1,0,0,7,0,28,581,31,40,28,1640000,41,40,40,40,28,28,28,28,28,28,28,28,28,28,8954,41
"11",2019,"24426824","Careyn Zuid-Hollandse Eilanden B.v.",793,562.46,18.84,10.88,14.84,0.71,24.73,17.94,0,52,752,0,8.5,48.74,8.87,0.61,1.12,9.1,13.05,10,0.88,8.18,1.11,152,61,4870383,562,193,140,0,0,48,274,50,3,6,51,73,56,562,11966,882,807,562,32815481,793,781,781,781,562,562,562,562,562,562,562,562,562,636,146239,793
"12",2019,"24319534","Catharina, Thuis Op Voorne",323,180.33,21.28,7.73,16.3,0.56,29.88,29.27,12.8,52,585,2.33,16.56,47.6,4.4,1.89,0,0,4.14,10.01,1.27,8.6,0.95,70,14,1579079,180,98,96,42,4,30,86,8,3,0,0,7,18,180,5496,308,329,180,9686443,323,328,328,328,180,180,180,180,180,180,180,180,180,142,63902,323
"13",2019,"37159646","Ceelie & Ceelie-Sierkstra T.h.o.d.n. Herbergier Assendelft",25,16,12,2.06,3.72,0.64,28.57,28.57,4.08,4,10,14.5,12.5,57,6.94,0,0,0,0,9.06,0.92,6.88,0.36,3,0,27000,16,7,7,1,2,2,9,1,0,0,0,0,1,16,2200,9,25,16,726000,25,25,25,25,16,16,16,16,16,16,16,16,16,17,32000,25
"14",2019,"41014377","Christelijke Stichting Bcm Zorg En Dienstverlening",168,82.93,17.86,0.72,2.03,0.49,22.98,14.29,4.97,50,155,0,11.59,64.16,12.43,3.46,0,0.72,0,7.63,0.72,10.15,1.65,30,1,79243,83,37,23,8,0,10,53,10,3,0,1,0,6,83,3449,278,168,83,3897820,168,161,161,161,83,83,83,83,83,83,83,83,83,115,33994,168
"15",2019,"62576100","Claris Zorggroep",72,38.5,44.44,5.97,9.77,0.53,52.63,26.32,14.04,4,5,15.58,23.38,24.68,15.58,0,0,0,20.78,0,0.84,8.35,0.32,32,2,195000,39,30,15,8,6,9,10,6,0,0,0,8,0,39,733,23,72,39,1996000,72,57,57,57,39,39,39,39,39,39,39,39,39,46,8778,72
"16",2019,"58176942","Compartijn Exploitatie B.v.",348,207.95,22.62,13.46,NA,0.6,NA,NA,NA,6,0,39.91,17.31,33.18,5.05,4.42,0,0,0,0,NA,NA,1.21,57,28,NA,208,NA,NA,NA,83,36,69,11,9,0,0,0,0,NA,NA,420,252,208,NA,348,NA,NA,NA,208,208,208,208,208,208,208,208,208,NA,NA,348
"17",2019,"75885565","Convivio",22,15.2,45.45,9.87,NA,0.69,45.83,33.33,16.67,7,7,0,17.76,44.08,15.13,4.61,0,0,13.16,5.26,0.94,18.38,0.91,10,2,NA,15,11,8,4,0,3,7,2,1,0,0,2,1,15,344,20,22,15,NA,22,24,24,24,15,15,15,15,15,15,15,15,15,16,1872,22
"18",2019,"61170682","Cor&Debby Zorgverlening",20,11.72,35,0,0,0.59,5.13,0,0,2,0,26.96,33.11,7.94,8.53,0,0,0,0,0,0.84,10.94,0.2,7,0,0,12,1,0,0,3,4,1,1,0,0,0,0,0,12,300,4,20,12,728642,20,20,20,20,12,12,12,12,12,12,12,12,12,14,2743,20
"19",2019,"66374812","Crataegus Zorg B.v.",11,4,0,0,0,0.36,27.27,27.27,0,1,6,0,0,26.25,38.75,25,0,0,10,0,0.76,2.12,0.82,0,0,0,4,3,3,0,0,0,1,2,1,0,0,0,0,4,31,9,11,4,148054,11,11,11,11,4,4,4,4,4,4,4,4,4,5,1460,11
"20",2019,"10030057","Cv Woonzorgvoorziening De Meerenburgh",22,9,25,0,NA,0.41,48.89,35.56,4.44,1,3,0,13.33,66.67,0,0,0,0,11.11,0,1.21,3.16,0.41,6,0,NA,9,11,8,1,0,1,6,0,0,0,0,1,0,9,60,9,24,9,NA,22,23,23,23,9,9,9,9,9,9,9,9,9,7,1900,22
"21",2019,"58497978","Dagelijks Leven Zorg B.v.",1051,663,36.54,1.24,3.08,0.63,43.67,21.79,6.76,188,467,12.08,24.86,33.94,8.94,0,0,0,16.05,3.23,0.82,4.92,1.13,426,8,1034862,663,459,229,71,80,165,225,59,0,0,0,106,21,663,7632,1189,1166,663,33621689,1051,1051,1051,1051,663,663,663,663,663,663,663,663,663,813,155160,1051
"22",2019,"66357438","De Amanshoeve Zorg B.v.",24,12.95,52,0,0.69,0.54,25.53,12.77,12.77,2,4,0,34.36,39.46,17.14,0,0,0,0,9.03,0.73,1.67,0.71,13,0,5540,13,6,3,3,0,4,5,2,0,0,0,0,1,13,77,17,25,13,797434,24,24,24,24,13,13,13,13,13,13,13,13,13,18,4613,24
"23",2019,"55141242","De Amanshoeve Zorgverlening B.v.",28,15.97,32.14,0,NA,0.57,44.44,37.04,14.81,2,6,0,12.46,44.21,17.03,0,0,0,6.89,19.41,1,5.83,0.57,9,0,NA,16,12,10,4,0,2,7,3,0,0,0,1,3,16,287,16,28,16,NA,28,27,27,27,16,16,16,16,16,16,16,16,16,16,4925,28
"24",2019,"63790289","De Eemhorst",62,28.41,3.23,8.8,9.93,0.46,15.79,22.81,0,4,12,6.62,21.37,35.76,17.6,0,0,0,13.16,5.49,1.05,3.2,0.24,2,3,143936,28,9,13,0,2,6,10,5,0,0,0,4,2,28,226,15,62,28,1448890,62,57,57,57,28,28,28,28,28,28,28,28,28,27,7063,62
"25",2019,"9135879","De Gouden Leeuw Groep B.v.",59,22.8,33.9,0,NA,0.39,29.89,50.57,9.2,5,25,0.18,19.3,36.58,23.25,5.04,0.04,0,12.28,3.29,0.82,8.92,0.83,20,0,NA,23,13,22,4,0,4,8,5,1,0,0,3,1,23,749,49,59,23,NA,59,44,44,44,23,23,23,23,23,23,23,23,23,28,8395,59
"26",2019,"51049384","De Oude Pastorie",54,38.18,21.67,1.26,1.85,0.71,50,25.93,3.7,4,26,0,8.01,43.43,23.02,4.61,0,0,5.92,2.65,1.5,5.07,0.67,13,0,34390,38,27,14,2,0,3,17,9,2,0,0,2,1,38,568,36,60,38,1861409,54,54,54,54,38,38,38,38,38,38,38,38,38,26,11205,54
"27",2019,"53960769","De Herberg Arnhem",26,17.71,15.38,0,0,0.68,19.23,19.23,7.69,5,7,5.48,5.03,34.67,10.33,9.43,0,0,27.56,7.51,1.05,5.88,0.58,4,0,0,18,5,5,2,1,1,6,2,2,0,0,5,1,18,380,15,26,18,665162,26,26,26,26,18,18,18,18,18,18,18,18,18,17,6464,26
"28",2019,"67169430","De Leeuwenhof Zorg B.v.",44,22.42,31.82,0,NA,0.51,23.26,18.6,0,5,16,0,20.83,74.44,4.73,0,0,0,0,0,1.09,4.93,0.64,14,0,NA,22,10,8,0,0,5,17,1,0,0,0,0,0,22,295,28,44,22,NA,44,43,43,43,22,22,22,22,22,22,22,22,22,21,5981,44
"29",2019,"68977743","De Lindelaer B.v.",27,15.66,18.52,0,8.7,0.58,33.33,33.33,7.41,2,10,11.24,23.63,56.77,8.37,0,0,0,0,0,1,5.13,0.78,5,0,69600,16,9,9,2,2,4,9,1,0,0,0,0,0,16,209,21,27,16,8e+05,27,27,27,27,16,16,16,16,16,16,16,16,16,16,4071,27
"30",2019,"68994842","De Muzelaar B.v.",29,13.8,0,1.09,2.18,0.48,6.9,6.9,3.45,2,10,7.97,10.87,77.54,3.62,0,0,0,0,0,0.99,8.55,0.38,0,0,15359,14,2,2,1,1,2,11,1,0,0,0,0,0,14,324,11,29,14,704801,29,29,29,29,14,14,14,14,14,14,14,14,14,14,3789,29
"31",2019,"65268172","De Pastorie Zorg B.v.",47,24.14,24,0.83,1.28,0.51,19.78,2.2,2.2,8,14,0,21.54,45.77,2.53,1.82,0,0,2.4,5.1,1.08,2.71,0.68,12,0,15393,24,9,1,1,0,5,11,1,0,0,0,1,1,24,205,32,50,24,1203650,47,46,46,46,24,24,24,24,24,24,24,24,24,22,7560,47
"32",2019,"41241550","De Pieter Raat Stichting",241,123.07,18.05,1.11,2.71,0.51,28.13,12.5,7.81,77,188,10.24,14.38,57.93,5.12,1.22,0,0,0,8.04,0.76,4.38,0.98,50,1,179721,123,72,32,20,13,18,71,6,2,0,0,0,10,123,7489,237,277,123,6621068,241,256,256,256,123,123,123,123,123,123,123,123,123,163,170871,241
